location,route_name,difficulty_rating,Description,Directions,Protection
Mortar Rock,The Odyssey Sit,V11-12,This is the sit start to the Odyssey. Do a large move first move from the jug at the bottom of the wall to gain the bottom of the flake with the right. From here you can climb in to the original Odyssey start for the crux move (originally done this way by Randy) or you can use holds on the arete for a milder version.,Below the Odyssey flake. Start on big jugs,Pads
Mortar Rock,Rimshot,V2-3,"Sit start on a chalked flake, then move up and right through a crimp and maybe a sloping pinch to the top. Just a few moves.",Just right of The Girls' Problem. On the boulder that flanks the stairs just NW of the main rock.,Maybe a pad if you want.
Mortar Rock,Stan's Treverse,V8,"staN Nat's 
Stan's treverse (not traverse get it harhar oh boy) is the same as Nat's but right to left. sickness moves! just as classic as Nat's, fshiz, yo.",I believe most people start at the base of the ramp.,none
Mortar Rock,Sun Plague,V6+,"Starts on Sunshine (sit) and climbs up the prow till reaching the ""smiley hold"" and the ""rose move jug."" But instead of topping out on the upcoming jugs, traverse right doing the last crux portion of Nat's Traverse. From there do Black Plague with ""all holds on"" to top the rock. Stout, mini endurance, pump-fest with great movements that falls in the V6 range. Doing the same start and topping The Ramp falls in the V5 realm.",Behind the large sagging branch and in front of the bench.,Probably want at least 3 if not more pads to protect the base of the climb especially under Sunshine and Black Plague.
Mortar Rock,Sunshine (sit),V5,Start left hand low on huge vertical jug and right in a sharp two/three finger pocket. Slap up the bulging arete. Top out straight up or traverse right along the lip. Has a nice variety of holds.,Mortar Rock.,The tree is right behind you on this problem so bring a pad just in case.
Mortar Rock,Warmup Traverse,V1,"Traverse the boulder to the left of the stairs. Start low on the right, you can even use the pipe sticking out as a foot to start lower. Once you figure out where the good holds are, and what feet you want to use, you can run laps to warm up. Top out once you hit the juggy crest, or continue left around the corner before topping out.","Small boulder to the left of the stairs, on the way to Little Half Dome.","Crashpads, spotters for the top-out."
Aquarian Valley,Do not know,,Bolted line to the far left of the Waterfall Wall. Fun low start.,Waterfall wall.,Bolts. Three bolt anchor.
Aquarian Valley,Stone On Bone,V5-6,"Stand start with huge left hand side jug and right crimper. Huge right hand throw to lip on arete. Toe hook the jug, bump left hand to crimp then bump to angled big rail. Throw right hand to sloper edge stick it hang and drop finish! 
Topouts go left or right for future first ascents!",Stoner Cave,"2-3 Pads 
Route is under 3 small boulders bring a big thick pad 1-2 small pads and a spotter or two."
Aquarian Valley,Stoned,V4-5,"start on a good pocket just right of the normal start and below the center of the stoner traverse and move up and into the end of it to finish same as ""sunspots"".",right side of waterfall / stoner cave,pad(s)
Aquarian Valley,Sunspots,V1+,the end of the stoner traverse to a step off finish in a jug/crack,far right side of waterfall / stoner cave,pad and/or spot
360 Degree Boulder,Mr. Clean,V4,"Sit start with left hand heuco and right hand sloper with whatever feet you can muster. Bust a big move to the dish, match, and mantle. Arete is off. 
 
You may be able to start even lower for a harder start.",Opposite of The Edge on 360 boulder.,Pad maybe.
Broken Pyramid Boulder,Broken Pyramid Arete,V3,I think this is the right name. Please comment if you think otherwise. Start low on the arete. Follow it right to the corner then mantle.,Coming down the hill ~100ft from the 360 boulder this will be on the right. Pretty unmistakable arete.,Pads and spotter in case you swing over the dead tree.
Castle Rock Proper,Between a Stump and a Hard Place,V4,"Start on the good underclings and go straight up to the ledge. Move a bit left then mantle. 
 
Heavy climbers be careful on the right hand starting hold. I think it was wiggling on me.",5ft to the right of The Spoon. On the same boulder as Duct Tape.,Pad for the pointy stump.
Castle Rock Proper,Cave Roof,V3,"Start on good underclings. Move into the cave and find a way to turn around (or don't). Good toe and heel hooks will take you to a big move up to the nice ledge. Mantle. 
 
All the necessary and good holds are nice quality. A good brushing first might be needed.",5ft right of The Spoon. On the same boulder as Duct Tape.,Pad and spotters for the finish.
Castle Rock Proper,Duct Tape,V5,"From a low start, with a right hand on the arete and a left slopy-crimp, delicately move up to a bad sloper on the arete. Continue to move along the slopers on the arete before making a large move to a final sloper just at the upper left corner to the boulder. The detached small boulders at your feet are off. Crux is the last move to the final sloper. Alternate beta includes topping out following the sloper on top.","Located on the Duct Tape Boulder, uphill in the cave behind the Spoon (on Castle Rock proper).",Pads
Castle Rock Proper,The Project,V2-3,"This is a traverse inside the cave at castle rock. Start on the far left side and move up and right over the boulder, transitioning lower after 6 feet to the switch moves across the back of the cave. Finish by moving up on jugs to the top of the roof.","left side of the cave, the route moves along about 4 feet above the boulder on the left across a blank wall",boulder
Castle Rock Proper,Red Rocket,V2,Ultra low ball fun problem straight across from the Weimea Wall V1. Start on the left side of the rock. Then heel hook your way all the way across and top out on the right side of the rock.,"Small, low, long flat boulder opposite Weimea Wall on Castle Rock Proper. If your looking at Weimea Wall your probably sitting on this boulder.",Boulder pad is nice underneath the climber even though they are only 2 feet off the ground
Castle Rock Proper,Unknown V0,V0,"Start right on the good hand holds, traverse left slightly, then pull straight over the bulge. Great warm up.",Right between Bate's Arete and The Spoon,Pad maybe.
Cave Boulder,Blind Sided,V6-7,high awkward toss to blind jug with crazy swing!,right arete of cave,2 pads - spot
Cave Boulder,Duende,V12-,Undercling sidepulls to bald arete,Right arete,pads
Cave Boulder,Groundation,V7,V6/7 stand start in head high left hand layback scoop and go up past hueco and seams to high jug top out! or V7/8 sit!!,on the right side of the cave left of the tree,1-2 pads
Domino,Domino,V2,Domino is a stand start that goes up and over the center of the boulder. The landing is good now that the park service has placed a retaining wall that created a level dirt surface at the base.,Descend by walk off on the back,Crash pad
Eco Terrorist Boulder,Freakal Terrorist,V10,Low ball with great compression moves. Might be reachy for the short people. Start Left hand on crimp and Right hand on sloper underneath the lip. Heel hook is up for start move. Originally called fecal terrorist but Im making an executive call for a renaming. Im up for better suggestions though.,Actually on boulder behind Ecoterrorist.,Bouldering pads
The Beak,Beak Mantle,V4,"Using the beak hold, mantle up and over. Crux is getting your feet into a good position to step off the mantle.",Beak Boulder,Pads
The Beak,Garage Door,V0-1,Start on the big knob and make some balancy moves up to the left facing flake. Make a big mantle.,Right behind the Beak Traverse boulder.,Pad
Dog Dish Boulders,Compression Problem,V3,"Start below the big nose and move straight up it slapping up the left side until you can reach a nice pocket out right. Finish straight up. Don't step into the crack. 
 
Unsure of the name. If anyone knows please comment.",Between Dog Dish Traverse and The Slap.,Pads and spotters.
Dog Dish Boulders,Highball,V0,Go straight up the face.,Main face on main dogdish boulder.,Pads for sure.
Dog Dish Boulders,Unknown V0,V0,"Move straight up and over two bulges. Little scary reaching for the lip. 
 
If you know the name please comment.",Just past The Swim down the alley. On the same rock as The Warm Up.,Pads and spotter. Kinda cramped landing area
Dog Dish Boulders,V2,V2,Sit start on a good undercling. Make a move up then move right.,Right of The Warm Up. On the opposite side of the Dog Dish Traverse.,None
Dog Dish Boulders,The Warm Up,V1,Start low on the outcropping of Dog Dish Boulder towards Mr. Magoo. Work your way through balancy moves to the right (towards the low-down oblong hueco) and top out at the highpoint.,Dog Dish Boulder,Pad maybe?
Mr Magoo Boulder,Bates Eliminate Left,V6-,"Start with sloping crimps, bust a move up and left to the topout. 
 
This problem is properly a variation of Bates Eliminate. We called it Bates Eliminate Left (Bates Eliminate was the specific topout) back in the day. When I first did it, the rating was V3, but the start holds were considerably bigger back then.","Just left of the Magoo problems, left of the tree and the left side of the boulder. Did I mention it's on the left?","Pad, or not, you'll be fine"
Mr Magoo Boulder,Gonzo,V2,Squeeze your way up the middle of the Muppet's nose hanging blob to the right of overhanging lieback,to the right of overhanging lieback,pads
Mr Magoo Boulder,Magoo Face,V2,"Starts on the undercling and/or the flared crack on the side of the boulder facing Castle Rock proper. Make a balancy move up to the sloper over the bulge and finally to the large hueco. 
 
Jim Thorburg claims V3 but seemed a bit easier than that to me.",Immediately to the right side of the large overhanging flake (avoiding the flake).,Pad maybe?
Mrs Magoo Boulder,Kauk Roof,V6,Trying to reach/find crimp blind while coming out of the bulge.,Magoo's,Pads: yes please. Spotter: Why not.
Mrs Magoo Boulder,Mrs. Magoo,V2,Stand start with your right hand on a large chalked up sloper. Move up and and across (left) as you slap your way to the top.,Opposite side of the boulder to the The Swim.,Pad
Mrs Magoo Boulder,Mrs. Magoo Traverse,V3,Start on the good side pull to the left. Work right then up to the good slopers and mantle. Finish up and right. Don't be lazy and finish left.,Opposite of The Swim and left of Mrs. Magoo.,Spotter for the tree and a pad for the top out.
Mrs Magoo Boulder,Roof Traverse,V3,"Start as far down in the tunnel as you can get. Work your way left towards The Swim; tons of options here. Move up to the big dish, rock over your right foot and finish with a couple mantle moves.",Directly right of The Swim.,"A pad over the obvious rock is a must. Not much room for spotters, but one doesn't hurt."
Mrs Magoo Boulder,The Swim,V3,"Start On horn, go up via some interesting moves into the mantle top out under the tree limb.","Across from Mr. Magoo boulder, left of Kauk Roof.",Pad and spotter recommended
Parking Lot Rock,Coz Daddy,V5-6,Start matched on lower rail or down deeper in the cave (won't effect the grade) climb right under bulge. Do some weird moves to catch a two or three finger pocket and hump the rock as you top out.,backside of parking lot boulder. just right of Yabo Roof,maybe a pad
Parking Lot Rock,Deforestation,V9,Ascend small crimps on the steep wall to the left of the Tree Problem. The crux is a hard throw off painful crimps which keep breaking due to people climbing too soon after rainstorms. As a result the move keeps getting longer and harder. Remember to wait at least 48 hours after storms before climbing this problem.,"Located just left of the Tree Problem. This problem is where ""the tree"" used to be.",Most people use crash pads.
Parking Lot Rock,Flakes,V3-,lieback the right facing flakes straight up,Around the corner from tree route (oposite side of Yabo roof),Pads
Parking Lot Rock,Let's Get Hurt,V3,"Starting on a decent right sidepull and a decent left sloper, move up to a huge Hueco and jug sidepull. Delicately move up to a small left crimp on top, and a micro crimp edge on the right. Finally, finish on the blunt right arete and top out. Crux is moving off the small crimps and topping out. ***The landing area has a multiple tree roots and small boulders on a downhill slope. Take care in spotting and padding the landing as this is a highball problem.***",Left of Flakes,Pads (minimum 3)
Parking Lot Rock,Lieback,V1,Kind of a one move wonder. Stand start on the good hold and lie back up.,On the left side of the uphill face of parking lot rock. Right of Coz Mama. Left of Deforestation.,Pad would be nice but not needed.
Parking Lot Rock,Pockets,V1,"Climb the pocketed face. Finish left of the tree. 
 
A little unnerving with the tree right there.",Downhill side of Parking Lot Rock,Not much will help you avoid the tree. I guess pads and spotters.
Parking Lot Rock,Unnamed,V4,"Crux is with right hand on highest crimp and left hand on start hold, moving left hand up to tiny flake with thumbcatch and crappy heelhook. the movement isnt hard at all, the crimps are just so bad.","To the left of yabo roof, just outside of the cave. Its to the left of the tree next to yabo roof and it starts left hand on a crimp rail and right hand on a crimp.","One bouldering pad will do, make sure you cover all the rocks."
Pyramid Rock,Unknown Highball,V0-,"This is the hueco and sloper face on the opposite side of Pyramid Crack. It faces the loop trail. It looks quite easy, though once you get a ways up, it feels a bit harder. 
 
Perhaps this is 5.8R/X. 
 
A fall from the top would be horrible. 
 
Three stars for the length and excitement.","To get down, it is possible to carefully down climb the route. 
 
However, it is safer and quite a bit easier to use the slabby crack descent as for Pyramid Crack. 
 
Down climb the slabby crack until you can reach the tree. Stem between the tree and slab for a couple moves until you are back safely on the ground.","None. There are three very rust bolts on top, but I would not use them."
The Spoon,Frog Traverse,V2,Start right on The Spoon and traverse left along the obvious ledge.,Spoon boulder,Maybe pad.
The Spoon,Unknown contrived dyno,V3,"This is a contrived problem, but it's really fun so I decided to add it. Basically, you start on two head high crimps on the left side of the spoon problem proper. Get your feet up and dyno up and right to the lip. Careful not to hit the tree!",On the spoon boulder. Starts on the left side crimps.,Pad and spotter both highly recommended.
Yabo Zone,Down Climb,V0,"Down climb for the Highball problem. Of course you can climb up it, but you'll have to come back the way you went.",On the left side of the boulder if you're facing the Highball,Pad
Yabo Zone,Highball,V1,"Start on left and right hand side pulls. Move up on good holds until they run out. Make a committing top out with no good hand holds. 
 
You can sit start to the left and traverse into it. This adds a grade. 
 
If you know the name please comment.",This will be the first boulder you will see coming from The Magoos. Right next to a tree.,Pads and spotters
Yabo Zone,Highball Sit,V2,"Sit start for the Highball problem. Sit start on a good under cling. Move right and finish the same. 
 
If you know the name please comment.",Same as Highball,Pads and spotter
Yabo Zone,Pitbull,V8,Sit down start with a good left hand and right hand on a brown ball. Go straight up.,Looking away from Sloper Arete you'll stare right at it next to a tree. Alternatively this will be the first boulder on your left if you come from Heuco Wall.,Pad maybe
Yabo Zone,Sloper Arete Stand,V4,"Start on left and right crimps. Make a short, but burly bump to a right hand jug. Lots of different beta to the top from there. 
 
There's a sit start that is probably double the grade.",Just past the tall boulder coming from The Magoos. Will be on your left.,Pad
Clamshell Boulder,The Clam Traverse,V9,"A purely thuggish problem from the start to finish, be prepared to get savage on this one. 
 
Sit start on the far right and traverse left along the slopey lip. The difficulties increase the further you get but end at an unfortunately un-exciting top-out around the corner (head straight up the bulge before turning the corner for a better but more difficult finish). 
 
Heel hooks, big powerful throws to bad slopers and good old but dragging fun...go do it!",From the main trail look down and right just before reaching Static Cling. This is the obvious horizontal traverse along an almost purely slopey lip.,Pad(s)
Clamshell Boulder,The Clam,V3,Start on the good hold in the cave. Move out and up the face.,On the Clamshell Boulder. About 50ft left and downhill of Indian cracks. ~1/8th mile from the parking lot.,Pad maybe. Watch your face if your foot slips while standing up.
Hash Rock,Revolving Holes,V1,Start on the two pockets and mantle up. One move.,Located on Hash Rock right in front of the main Indian Rock. Following the trail from the parking lot will take you straight to it.,Pad.
Hash Rock,Sloper,V2,Start on the ledge and move left and up to a slopey top out.,Located on Hash Rock right in front of the main Indian Rock. Following the trail from the parking lot will take you straight to it.,Pad.
Hash Rock,Undercling,V0,Start low on the crack and follow it to the top.,Located on Hash Rock right in front of the main Indian Rock. Following the trail from the parking lot will take you straight to it.,Pad.
Indian Cracks,"1 1/4"" Crack",V1,"A cool problem that involves a strenuous sequence of liebacking moves up a thin crack with very little in the way of feet. Descend via the chimney. 
 
A step up from ""Indian Crack"" in difficulty, but just as quality in my opinion.","On the right face of the Indian Cracks boulder, about ten feet past ""Honey Dipper"".",Pad or none. Great landing.
Indian Cracks,Honey Dipper,V2,"A fun problem that is on the indistinct arete between the front and right faces. Start on good holds and lieback up the left-facing, positive arete feature. Top out and descend the chimney. 
 
There is a V3 variation to this climb called ""Raw Honey"" which starts a couple feet right of ""Honey Dipper"" and involves a few tough moves slapping up the sloping and slippery rail just right of ""Honey Dipper"". Also quality.",First route on the right face of the Indian Cracks boulder.,Pad or none. Great landing.
Indian Cracks,Indian Crack,V0,The most famous problem at the crag and the obvious line. Climb the splitter thin crack (1.5 inches?) with great jams and feet. Top out and descend the chimney.,The obvious crack on the front face of the Indian Cracks boulder.,Pad or none. Landing is great.
Indian Cracks,International Female,V7,"Start on the clean rail down low and left, traverse right through some pretty big moves on slopers and top out at the good crimp. The bottom rock is off for the second half of the problem. Unfortunately this problem is very low to the ground but the moves are fun and well worth trying if in the area.","10 or 15 feet to the right of 1 1/4"" crack.",One or two pads.
Indian Cracks,Mantle,V0,"Another decent problem. Start on good holds and (you guessed it) mantle into the huge pocket. Descend the chimney. 
 
There is also a contrived problem in between ""Mantle"" and ""Indian Cracks"". Basically you don't get to use the crack for your left hand or the good top out holds of ""Mantle"" for your right. The crux is a long throw. V1?",About 5 feet right of Indian Crack but still on the front face.,Pad or none. Great landing.
Indian Cracks,Raw Honey,V2-3,"This route starts just to the right of Honey Dipper and goes straight up, utilizing a good crimp and slapping to a sloper. The low holds on the arete are off.",Right next to Honey Dipper,Good landing. Pad and/or spotters
Indian Cracks,Sloper Route,V2,"Start on the same jug as 1 1/4"" crack and move left into the under clings, up to the sloping dish then a nice pinch.","Left of 1 1/4"" crack. Right of Raw Honey.",Pad.
Lost Keys Bouldering,Lost Keys,V3,Start low on two great heuco side pulls. Move up on good holds to a slopey top out.,Right in the middle of the Lost Keys boulder.,Pad
Lost Keys Bouldering,Lost Keys Traverse,V6,Super awesome traverse boulder problem!,Indian Rock Side. Down the hill,Pads
Lower Indian Rock,Asian Invasion,V6-7,"V7 if you start on the lowest holds possible. First move is the crux (somewhat contrived but fun), slap up some slopers on the right and mantle at the top. Apparently the right hand start hold broke somewhat recently making this problem a bit harder. Stand start is V4.",Straight down the hill from Indian Rock about 40 ft past Dark Side of the Moon.,One pad
Lower Indian Rock,Dark Side of the Moon,V6-7,"about 60 feet downhill from Indian Rock, head down the path and sniff around until you find the nook with this route and Right Hand Indian Man (V6). These two problems face downhill, but are not super difficult to locate. 
 
ID this problem by the 5 shallow dishes on the face making a triangle. Start with a right hand in a dish and left on a sloper, slap up with the right to the obvious moss-free section of the topout","Down the path, past the Santa Cruz Dude dyno (V3) from Indian Rock proper","One pad is nice, 2 is better"
Lower Indian Rock,Left Hand Indian Man,V4,Start down on the good rail. Move left then up the crack. Some good opportunities for knee bars.,Second boulder down hill from the main Indian rock. Right next to Dark Side of the Moon and on the same rock as Right Hand Indian Man.,Maybe a pad.
Lower Indian Rock,Right Hand Indian Man,V6,"In the same nook as Dark Side of the Moon (see route description), sit start with a left hand in a juggy undercling and the right on a good hold at the arete. Slap up low percentage holds on the arete to a good hold at the top, roll it over","Downhill from Indian Rock, see Dark Side of the Moon route location.",Pad or 2
Lower Indian Rock,Santa Cruz Dude,V3,Dyno from crimps. Might be harder for shorter climbers.,First boulder below main Indian Rock. Following the trail you will see it on the right.,Maybe pad.
Lower Indian Rock,The Shark,V1,Climb the obvious line up the arete. Find the jugs for the high top out. A harder variation comes in from the right side.,Downhill of the main Indian Rock. Right below Dark Side of the Moon.,Pads and spotters.
Lower Indian Rock,Sticky Rice,V1,"Start on the right of the big flake. Move on top to the big jugs. From here you can dyno, do a big reach if you're tall, or use the crimpy side pulls. Dyno is probably the most fun and easiest.",Just downhill of Santa Cruz Dude. Very obvious boulder.,Pad
Nature Nazi Boulders,Avery Power Pull,V8,Sit start to Caunt Power Pull. Climbs very differently and really doesnt use the same movement. One of the best of the grade at castle rock.,nature nazi boulder (really close to the road west of indian rock parking but same side as indian rock.,bouldering pads
Nature Nazi Boulders,The Direct,V3,"Start on the sidepull, make a move right then up.",On the rock opposite Lieback Flake and Slab. Facing the road.,None
Nature Nazi Boulders,FF Crack,V4,"Move right to left on the large split boulder. You'll likely come out cut, scratched, and bruised. A great time!",On the left next to the trail.,Pad
Nature Nazi Boulders,Funky Arete,V1,Climb the arete.,Just right of FF crack. Left immediately of the trail.,Maybe pad
Nature Nazi Boulders,Funky Face,V1,Climb the face using tiny protruding knobs. Arete is off.,Just right of Funky Arete and FF Crack.,Pad maybe
Nature Nazi Boulders,Lieback Flake,V0,Climb the obvious flake then traverse right.,Opposite from Nature Nazi Traverse on same boulder.,Pad
Nature Nazi Boulders,Man in the Canoe,V2,Start left on the arete and move onto the face and right to finish on Lieback Flake.,Just right of Nature Nazi Arete on the same boulder.,Pad
Nature Nazi Boulders,Nature Nazi Traverse,V4,"Starts low and to the left on the shortest part of the boulder, make your way rightward along the sloping lip, move through the insecure crux bulge and top out at some good jugs just before the large tree. A long and burly line.","Located to the left of Nature Nazi arete, the obvious long sloping rail.",Couple pads
Nature Nazi Boulders,Slab,V0,Start on a great foot and climb the slab. Eliminating the arete adds a grade or two.,Opposite of Funky Face on the same boulder.,Pad maybe
Thee Classic,Thee Classic,V3,"In my opinion as good as any V3 you'll find anywhere and one of my all time favorite problems. Move through the large hueco in the middle of the face, make a long move to the cryptic sloper at the lip and try to figure out how to top out. Crux is the move after you hit the lip (kind of tall but the landing is good). 
 
I've always felt the Classic is a bit sandbagged but that's the way castle rock is sometimes. There's a low start that goes at V4 as well.","As you walk down the trail past the right side of Indian rock, this is the obvious line characterized by a large chalked up hueco in the middle. Pretty much directly under Donkey Dong.",Pad or two
Thee Classic,Sharma Arete,V9,Climb arete from standing start. One of the best or perhaps the best.,located at base of main indian rock,bouldering pads
Klinghoffers,Achilles Lauro,V4,Balancy Arete with a little of a psychological factor. Try not to barn-door.,Klinghoffers,pads definitely needed and spotter encouraged
Klinghoffers,Klinghoffers Traverse,V5,This Traverse is one of the best I've ever been on. Traverses up the hill. Crux is definitely at the very beginning and another one 3/4 of the way up. Perfect mix of hard sections with good jug rests along the way. SO FUN!,Two ways to get there. Easy to get lost. See Bay Area Bouldering by Super Topo.,May want pads if you are going to top out the highball ending. Watch out for the tree!
Klinghoffers,Right Hand Man,V7,"Reminiscent of Fontainebleau. This problem starts off under an overhang sit start. You're given a side pull,left hand nub and a right hand undercling. Suck it up and smack the SLOPEY arete with right hand. Takes lots of power to stick the first move (I found that the crux). Work your way up the slopey arete basically fighting to stay on until you reach the top and turn the corner.",See Supertopo's Bay Area Bouldering guide,safe fall zone. Maybe a pad or two to be extra safe.
Castle Rock Boulder,I asked the Internet,V0-,"Follows the obvious crack up the middle. 
 
Crux is located towards the middle, it's mainly finding the solid hold to grab on too. 
 
Great boulder with a great view of surrounding area","Directly above the parking lot, you'll see it.","Bad landing zone, don't fall."
Red Hill,Fully Commited,,"Starts at eye level, right above the small potato rock. 
 
2 handhold, a crimp for the left hand, and a great pinch for the right 
 
The crux is moving up to the 2nd set of holds, where the left hand has to use a really small crimp. 
 
Once past that, the route is easy fun climbing. 
 
Great view of the bay from the top.","Located on the backside of the Red Hill. 
 
To get down, go to the left, where you'll face an easy downclimb.","No pro at all. One rusted bolt, do NOT use, it's a risk. 
 
Mainly a free solo route"
Glen Canyon,Thistle boulder eliminate,V4,"Climb the small freestanding bloc with 'thistle arete', sit start but do not use any of the good hands or feet on the left side of the boulder/arete. super contrived but fun.",small bloc in front of the main glen park wall,one pad
Indian Joe Caves bouldering,Bushwacker Direct Low,V9,start matched on sloper and move right to jug and head up the arete. Left kneepad helps.,cave at the base of the 12c route. approach cave from right side of boulder field as you come up from the approach,about 4 bouldering pads preferred. 3 minimum and any less gets kind of sketchy.
Danger Rock (or Orange Buddha Rock),Baseball,V4,"Climb the problem left of the diagonal crack. Start on obvious low holds, make move out right to slopey gastone and establish yourself in the undercling before making the moves to the top.",north face of orange buddha boulder,pads and spotters.
Danger Rock (or Orange Buddha Rock),Belly Of The Buddha,V10,start right or Orange Buddha Arete on a LH fat pinch and RH incut crimp. Traverse/campus on decent holds with no feet to the start of Orange Buddha Arete and finish it,"Danger Boulder, by Orange Buddha Arete","a few pads, maybe a spotter"
Danger Rock (or Orange Buddha Rock),Orange Buddha Arete,V7-8,Climb depends on sand levels. Best when sand is high. when sand is low there is a jagged rock right behind you. Sit start on low holds and climb up the arete feature. This climb has several variations.,Orange Buddha Boulder.,Pads.
Danger Rock (or Orange Buddha Rock),Tourist Patrol,V5,"Start matched on jug flake. Climb up using side pulls, gaston and crimp holds.",Inside the corridor formed by the hillside and orange buddha rock.,pads
Danger Rock (or Orange Buddha Rock),Unnamed Sidepull,V4,"Sit-start with a left sidepull, right Gaston then work up using more sidepulls and the arete to the right to the jug on top. Easy top-out.","Around the corner from Grace Face, on the uphill side of the boulder",A couple pads and maybe a spotter as there a couple painful-looking boulders right below.
Are You Experienced Boulder,Little Wing,V7,Three or four tough moves from standing with an awkward topout. V9 sit start.,Left-center stand start with a big move left to a slippery crimp and right to a jug. Sit start low.,Pads on pads.
Are You Experienced Boulder,Smiley Face (stand),V5,Start on underclings and crimp your way up the face.,On the very right hand side while facing Are You Experienced boulder,pad
South Boulder,V1,V1+,"A fun line well worth the relatively short hike. Low jugs and pinches lead to a ""hidden"" crimp and long move to the top.",South of the main area,Bring your organic for this one.
