parent location,location,lat long,description,directions,sub locations
,Mickey's Beach,"37.8886, -122.6327","Mickey's Beach offers some of the toughest sport climbing in the area, along with some interesting bouldering. Almost all climbs are on the beach, and some are tide dependant. The area can be quite windy, making some of the balancy moves more interesting. Climbs offered range from beginning to expert. 
 
The whole area is free. 
 
A brief bit of history tells that the bouldering area west of the main rock was once a part of the hillside, and in a huge storm in 1986 it fell into the surf as one large chunk. Seven days later, the rock split into pieces, directly in front of an unsuspecting picnicing couple. 
 
The main rock also had some storm trouble. In 1993 a huge storm knocked several classic climbs off the main rock and into the ocean, including a classic 5.12 finger crack known as Mickey's crack. A word of caution for people who travel to Mickey's beach, which is that it's a spot frequented by a rather large group of nudists, so if that bothers you, you should probably climb some place else.","From S.F. Take the 1 north. Follow the signs to Stinson Beach. Follow the road down the canyon, and then follow it down the beach. It's a ways, but the main parking lot is .3 miles north of the sign to the Steep Ravine campground and cabins. This sign is on the left side of the road. 
 
From the east bay: Take 580 west to the 101 south, until it intersects with the 1, then follow the above directions.","Center Bouldering Rock (or the Beach Boulder); Danger Rock (or Orange Buddha Rock); Egg, The; Green Monster, The; Grey Slab; Main Rock; Peeper's Rock; Stinson Beach; Tennessee Valley Beach; Way of the Wah (AKA the cave)"
,Mount Tamalpais,"37.9291, -122.578","Located high above the North Bay, Mt. Tamalpais was once the site of an old hotel. While the hotel is gone, an observation tower remains on the East peak, and is surrounded by jagged volcanic rock that holds some interesting climbing. 
 
Containing mostly easier climbs (5.3 - 5.11b), Mt. Tamalpais is a great place to teach someone how to climb, set up a top rope, or a great place for a first trad lead. 
 
The climbing primarily faces east, and offers incredible views of the rest of the bay area. Because of it's direction, you will find most of the climbing in the shade in the afternoon. If you're going to be there a while, don't forget to head up to the observation tower for an incredible Pacific sunset. 
 
Due to the rugged nature of the rock, it's probably best to either walk off most climbs, or to rappell from the top. 
 
Depending on the day, you may have to pay $8 to park in the park, but then again, you might not. 
 
Always check the Mount Tamalpais State Park website for current information.","From the 101 North of San Francisco, exit the freeway and head north on the 1 towards Stinson Beach. A short while later, hang a left on Shoreline, until a fork in the road. At the fork, head left on Panormic Highway, which will also have a sign stating the correct direction to get to Mt. Tamalpais. Stay on Panoramic until you see yet another sign on the road, telling you to got right on Pantoll road. 
 
Head 1.4 miles up Pantoll road, and then head right on East Ridgecrest Blvd, once again following the signs to Mt. Tamalpia's East Summit. The parking lot will be at the end of the road, 2.8 miles later. 
 
All climbing is accessed via the Plank trail, which will have a sign stating .3 miles to the observation tower.","Leaning Tower, The; Mount Tam Boulders; Northern Formation, The; Oberman's Rock; Southern Formation, The"
,Pacifica Headlands,"37.6056, -122.50045","Over looking Lindamar Beach in Pacifica from the north end this bluff offers a few bouldering and top-roping opportunities. The rock quality is mostly poor, but it can still be an enjoyable locations to climb given the pictures locations. While this location would probably not be a place worth going out of your way for, if you are in the area or looking for something to do when the surf is poor, you should definitely check it out.",From Lindamar Beach in Pacifica walk North on the paved bike path. You will want to step off the bike path to your left and take one of the dirt paths out onto the bluff to reach the climbing.,Mori Point; Rock Away Boulder; San Pedro Boulder; San Pedro Cliff
,Ring Mountain,"37.9095, -122.4828","Ring Mountain is a scenic collection of boulders in the Marin Headlands, ranging from about 20 to 50 feet in height. They offer a variety of problems and top roped climbing on some interesting rock. 
 
No useful bolts or anchors are present on the rocks. Bring long slings (~40') and nuts to take care of your anchor needs. The rock is friendly on the hands; it's good for sticking small holds. Feet tend to be a bit more slippery. The rock at Turtle Rock is schist and somewhat reminiscent Rumney, NH. 
 
Access is free and the area is open from sunrise to sunset.","To get there, exit at Paradise Drive from the 101 freeway a few exits south from where it meets the 580. 
 
At the off ramps, drive a short distance east, towards the Bay. On Google Maps this shows as Tamalpais Drive. 
 
Paradise Road is the very first possible right hand turn, and comes before the traffic light. 
 
Follow Paradise Drive as it winds south and east for around 2 miles. 
 
Turn right onto Taylor Road, and follow it to its end. 
 
Park your vehicle here. 
 
At the parking lot there are two paved paths leading into the hills. Walking uphill and to the left will bring you to Split Rock. Walking uphill and to the right will bring you to Turtle Rock.",Split Rock; Turtle Rock
,Angwin,"38.5684, -122.4406","Angwin has two small, developed climbing sites, plus a few scattered boulder problems not included here. The rock is pocketed volcanic tuff similar to that of nearby Mt. St. Helena. 
 
Mossy Rock is a boulder up to 20 feet high located in mixed evergreen forest, and offers bouldering and top-roping ranging from 5.7 to V4 (5.12). The approach (0.6 mile) is on a good, flat trail. 
 
Bell Canyon, which is now CLOSED TO THE PUBLIC, has a west-facing band of cliffs offering lead climbing up to 45 feet high, with both trad and sport climbs ranging from 5.6 to 5.11. The approach (0.5 mile) is difficult with sections that are steep, loose and bushy, and the climbing is mediocre. 
 
The climbing history is obscure. The easier climbs were probably pioneered by faculty and students of nearby Pacific Union College. The harder climbs were established by the early 1980s by Tony Yaniro (climbed first 5.13 in North America), Mark Spencer (author of ""Southern Yosemite Rock Climbs"") and the late Jim Hanson (rock climbing instructor at PUC), among others.","MOSSY ROCK: Boulder located on property owned by Pacific Union College, currently accessible to the public. From the junction of Silverado Trail and Deer Park Road in St. Helena, drive 5.4 miles north on Deer Park Road, which eventually becomes Howell Mountain Road, to the campus of Pacific Union College. Turn right on Cold Springs Road and, after 0.2 mile, continue straight across an intersection onto Las Posadas Road (Cold Springs Road turns right) for another 0.9 mile to a 90-degree bend in the road. Park at the bend of the road and hike on the trail that proceeds east (the same direction you were just driving). After about 0.1 mile you cross a fence and a dirt road, then reach a fork after another 0.1 mile. Stay right at the fork and continue about 0.4 mile until you see Mossy Rock on the left. 
 
BELL CANYON: Band of cliffs located on property owned by St. Helena Hospital, now CLOSED TO THE PUBLIC. From the junction of Silverado Trail and Deer Park Road in St. Helena, drive 4.1 miles north on Deer Park Road, which eventually becomes Howell Mountain Road, to White Cottage Road. Turn left on White Cottage Road and continue 1.6 miles to the junction of Liparita Avenue on the left and Brookside Avenue on the right. Turn left on Liparita Avenue and drive 0.3 mile until you see some parking spaces on the left just in front of a gate and beside a pump house. Walk back toward White Cottage Road for about 20 feet to the end of the fence on the right side of the road and pick up the trail behind the fence. Follow the trail through some manzanita past a pump house, then downhill on a wide, zig-zagging trail about 0.3 mile. Shortly after crossing a stream, look for a pipe that exits a steep bank on the right side of the trail. Exit the trail at this point, boulder-hop across the stream through blackberry vines, and follow a climber's trail 0.1 mile across chaparral and down a couple of steep boulders to the base of a cliff. Scramble 0.1 mile down, then up along the base of the cliff, cross a steep sandy slope (potentially unstable and dangerous after a heavy rain), and continue along the base of the cliff to the main face.",Bell Canyon; Mossy Rock
,Fort Ross,"38.52354, -123.26335","Excellent, hard beach bouldering on a calm beach in Sonoma? Nah! 
 
Welcome to Fort Ross Bouldering, on a soft small pebbled and sand beach just South of the town of Fort Ross, and just north of Fort Ross Historical Park. 
 
While the Quantity of bouldering isn't great, the QUALITY and 3 minute approach makes this a great stop (if not entire day) for a Sonoma County rampage. 
 
Climbing is varied on solid sandstone: There are excellent routes for beginners with many uncrowded rocks and problems with V0 or simpler climbing on them. Intermediates will find fewer choices. Experts will love the main boulder, which has problems from V0+ to V9. There are also a few top rope (5.11-5.12) options, though most people avoid them due to their proxminity to other climbing in the area, and also to the loose quality of the rock. 
 
All routes walk off the backside of the boulders. 
 
Sand level can play a major factor into the difficulty of the climbing here. Living a Dream (V5) which ascends the right arete of the main rock simply cannot be done as the 5 in the winter. Climbing the HARD ""sit start"" Living La Vida Loca (V8) is the only option, as the step into Living a Dream is well overhead. The other difficulty about sand level is that in the winter most of the soft sand goes away, leaving a rocky often jagged beach for highball landings. There are no access fees. 
 
Check the Fort Ross State Historic Park website for more and current information.","To reach Fort Ross , head north on 101 from essentially anywhere in the Bay Area. Upon reaching the town of Petaluma, take the East Washington exit. Go left and drive west, over the freeway. When Washington intersects Highway 116, it turns into Bodega Avenue. Keep on Bodega for about 25 miles, and it will become highway 1 - Northbound. Keep on Highway 1, through Bodega Bay, and into Jenner. At the intersection of hwy 116 (same highway as in Petaluma, it just winds a LOT) and hwy 1, you have 14 miles until one 4 - 6 car pullout on your left, right next to mileage sign 34.20. This is where you should park. 
 
The trail to most of the climbing heads down to the beach from the North end of the pullout. See the pictures for some views.",Main Boulder; Traverse Cliff
,The Nut Tree Boulders,"38.3767, -121.9845","PLEASE NOTE;
 THE ROCK AT THE NUT TREE BOULDERS ARE BASALT AND GENERALLY BLACK IN COLOR. EXCESSIVE TIC MARKING AND ""POWDERING"" OF HOLDS IS HIGHLY DISCOURAGED AND EXTREEMLY FROUNED UPON HERE. CHALK IS HIGHLY VISIBLE AND AN EYE SORE TO HIKERS AND OTHER CLIMBERS ALIKE. PLEASE PRACTICE GOOD ETHICS AND SHOW YOUR GOOD STYLE BY LEAVING AS LITTLE TRACE ON THE ROCK AS POSSIBLE, LIMITING TIC MARKING TO A SMALL DOT AND BRUSHING OFF HOLDS AFTER YOU'RE DONE CLIMBING. 
EXCESSIVE CHALKING IS GRAFFITI TO 99% OF THE PEOPLE WHO USE THE OPEN SPACE LAND. 
 
 
Ever climb a route at Nut Tree and wonder if it has ever been done before?
 
Check out the PDF of Aaron Roughs unfinished guidebook for a good list of undocumented (in any published guidebook) routes for the Nut Tree Boulders located HERE .
 
 
The Nut Tree Boulders
 
 
This basalt bouldering area sits directly above the suburban mecca known as Vacaville. That said, when it's REALLY REALLY clear out, you'll have an excellent view of the Sierra as you pull your way up excellent holds on overhung basalt. 
 
Sitting just above a Vacaville development, this open space bouldering area has no access fees, no ""real"" parking area, and some really fun bouldering on fairly large rocks from 10 - 20 feet in height, and some problems keep you busy for over 30 feet. 
 
The basalt of the area can be rather loose in spots; when you pull a roof into a somewhat uncleaned topout, expect about 30% of what you grab to be loose. It's basalt though, so it probably won't come out :) 
 
Camping? NO! Hotels? Yes! 
 
This area has been developed over a period of time by a variety of different people. Resultingly, you'll find different cleaning techniques, and different landing options. Some routes have an excellent almost manacured landing, and others have a nice sharp chunk of rock on a steep hillside underneath the crux. Take your pick. 
 
Routes range from really easy to really hard, and everyone will find plenty of rotues to keep themselves entertained on almost 20 different rocks, with development potential for those that are interested. 
 
The Nut Tree Boulders are not somewhere you want to be in the summer. In the fall and spring on hot days, you'll find most routes cooking. Winter and cool days will be excellent, provided it hasn't rained in the last 24 hours.","The Nut Tree Boulders are located in the town of Vacaville off of Highway 80 in Northern California between Sacramento and San Francisco. 
 
From the West (San Francisco), Exit on Allison Drive / Vacaville exit. Take a left at the light onto Allison Drive. Cross the freeway and go .7 miles until the road ends and take a left onto Browns Valley Parkway. Head North on Browns Valley Parkway, which will turn into Browns Valley Road. 
 
From the East (Sacramento), Exit Vaca Valley Parkway/Leisure Town Rd and go Right on Vaca Valley Parkway. Follow Vaca Valley Parkway until you reach the intersection with Browns Valley Rd. The Hillcrest Boulders and Boxcar Woody Boulders will be strait ahead on VV Parkway. To get to the Woodcrest Boulders follow Vacavalley Parkway until it ends and make a left onto Wrentham. Follow Wrentham for a ways until you can make a Right onto Woodcrest. 
 
 
For the Hillcrest Boulders: 
 
Stay on Browns Valley road for 1.3 Miles until it intesects Vaca Valley Parkway and take a left. Stay on Vaca Valley Parkway until you can make a right turn on Hillcrest Circle. Say on Hillcrest through the circle until the road makes a left, then park in the development on the street next to a cattle gate and trail. 
 
For the Woodcrest Boulders: 
 
Stay on Browns Valley Road for a short 6 /10ths of a mile. Make a left turn onto Wrentham. Continue 3 short blocks and make a left onto Woodcrest. Park on the street next to a gate that has a dirt road and an ugly looking barbed wire fence behind it. 
 
For the Boxcar Woody Boulders: 
 
Either follow Browns Valley Rd and make a Left onto Vaca Valley Parkway. Then follow VV Parkway until it ends. The Boulders will obvious next to the road on the right. Or, from Browns Valley Rd, take a left onto Wrentham like you're headed to the Woodcrest boulders but keep going until Wrentham ends at Vaca Valley Parkway. 
Park on the street next to the boulders or across the street next to the Church.",Boxcar Woody Boulders; Hillcrest Boulders; Woodcrest Boulders
,Boxcar Woody Boulders,"38.38908, -121.98472","The Boxcar Woody boulders are the most easily accessible boulders at the Nut Tree Boulders. With an approach that takes literally 15 seconds, this is a great spot for a hit and go burn or a late in the evening session. There's even a great traverse under the glare of a street light on the Spotlight Boulder allowing for an after hours pull down session should you be so inclined. 
 
The Boxcar boulder is a short boulder (10ft at it's highest) but makes up for it's height in length and hosts one of the longest (about 80ft) and best traverses at the Nut Tree Boulders. The steeper side of the boulders hosts a large number of potential eliminates and classic problems while the longer (less steep) side of the boulders offer great, long traverse problems with a grade range that offers something for just about everyone but the most burly of boulderers.","Follow the directions on the front page for Boxcar Woody Boulders. 
 
Park anywhere along the road by the boulders or across the street next to the Church.",The Boxcar Woody; 2nd From the Left; 3rd from the Left; Spotlight Boulder
,Hillcrest Boulders,"38.39386, -121.98525","The Hillcrest boulders are home to some of the largest features and most classic routes at the Nut Tree Boulders. Unfortunately it's also one of the most spread out areas requiring some effort when jumping from rock to rock. Not to worry though, as boulders dot the entire trail and hillside all the way from Scotts Rock near the road to the Mother Boulder at the very peak of the tallest hill. 
 
There is something for everyone here from classic V0's to the areas current hardest and most classic problem (Scotts Traverse) coming in at a very stout and sustained V9. Highballs, overhangs, cracks, traverses and pumpy face routes. This area has it all and more than enough climbing to keep you coming back no matter what your abilities.","The area is accessible by approaching from either the Boxcar Woody Boulders or the more popular approach from Hillcrest Cir, from which they get their name.",Hidden Boulder; Mad Cow Boulder; Metal Mania Boulder; Mother Boulder; Saddle Boulders; Scootch Boulder; Scott's Rock
,Woodcrest Boulders,"38.37723, -121.98115","The Woodcrest boulders feature a rather tight concentration of boulders in close proximity to one another and consequently are host to the largest overall number of routes unlike the more spread out nature of the Hillcrest boulders. Coupled with it's high visibility from the road and comparatively short approaches has made the Woodcrest boulders the most popular venue at the Nut Tree Boulders. 
 
The general tight proximity of the boulders make it easy to set up a nice circuit or maximize the number of potential routes you can do if you're on a tight schedule. It's also a great place for those who like to explore a bit as no matter which direction you wander off from the main area, you're almost bound to run into another set of boulders eventually. When bouldering out here remember, there's almost always something else just around the corner.","Follow the directions on the main page for the Woodcrest Boulders. 
 
Park along the street next too (not in front of) the cattle gate and walk up the gravel road behind the houses. Be respectful of the home owners when walking behind their houses and keep an eye on your dogs. Walk about 100 yards up the gravel road to another cattle gate. Throw your pad over the gate if you have one and slip through the narrow passage way to the left of the gate instead of climbing over it. Follow the trail and veer off to the left and right when appropriate. There is good climbing on both sides.","Ants Attack Boulder; Backside Boulder; Beer Boulder; Boulder of Bloody Madness, The; Cattle Drive Rock; Cube, The; Kung Fu boulder; Nature Boulder; Stonewall Rock; Tidbit Boulder; Urban Myth Boulder; Wildside Boulder"
,Putah Creek,"38.5174, -122.056","A nice alternative to the Nut Tree Boulders of Vacaville, though not nearly as large. The creek helps to keep things cool during the summer. The down side of this is abundant poison oak, found from the road to the water. 
 
LeeAB adds: ""There are 3 main boulders here. Just below the parking pullout is the Roadside Boulder, we did not climb there. As you head down the obvious trail look for the spurs that cut left into the trees. First you will pass a smaller less steep boulder with a couple of problems. The next boulder you come to is the Heavy Metal Boulder and is quite large, there is a rock shelf below the river side (steeper) of the boulder. The last boulder, the Purgatory Boulder sits right on and partially in the creek, the steeper face, faces the road and the bulging face is on the downstream side of the boulder.""",Putah Creek is 7 miles west of Winters on Hwy 128. Look for a pullout on the left. Boulders are mostly hidden down by the creek.,"Heavy Metal Boulder; Mud-Hole Boulder, The; Purgatory Boulder; Roadside Boulder; Weasel Boulder, The"
