parent location,location,long lat,description,directions,route names
Grizzly Peak Boulders,Stoner's Cave,"37.8808, -122.2312","This west facing rock area features wind-eroded basalt rock. There is easy access to the top of both rocks, each with top rope anchors. A rope will lead you to the top of one rock while a short trail will lead you to the top of the other. There are a few short routes, but you can enjoy an afternoon climbing into the sunset. 
 
There is an expansive view from the rocks. It offers a view over Berkeley, Albany, El Cerrito, Emeryville, Richmond, Oakland, the bay bridges to SF, SF and Treasure Island. Pairing a climb around sunset makes for a fun time. 
 
There are a few issues to deal with: the amount of graffiti and broken glass near the bottom along with the presence of stoners. The graffiti paint makes holds very slick and the broken glass can stick to climbing shoes. You may also run into kids getting high in the small caves housed in the rock.","From CA24 exit for Fish Ranch Road. Follow Fish Ranch Road until it intersects with Grizzly Peak Blvd. Turn right onto Grizzly Peak Blvd and continue past Tilden Park. Once past Tilden Park, there will be a few turnouts on the left side of the road with incredible views of the bay. Pick one, park and look down the hill. You should see a big rock with a trail leading to it.",A Spray Can and A Beer Can TR
Grizzly Peak Boulders,Tall Traverse Rock,,"This tall rock sits in the back of the climbable rocks back in the trees behind the main rock with the prominent overhang. 
 
This rock offers an interesting mix of granite on one side, and some pockety volcanic rock on the other. 
 
As with most of the other rocks in the area, it is always in the shade, as it is hidden underneath a large section of trees. 
 
Walking off the back is pretty easy, you might want to use a tree branch to help you down.","To reach this rock, go behind the main overhung rock which can be seen from the road into the trees. It is located on top of the pile, above most of the other rocks in the area. See the picture for a better view.",Tall Traverse
Remillard Park,Pinnacle Rock,,"About 25 feet tall, Pinnicle rock has a handful of pocketed face climbs as well as a noticeable crack on the left side, and a strange ramp on the right. 
 
This rock has a large solid metal pole set 15 - 20' behind the main face of the rock, which allows you to use long slings to setup top ropes on the 8 or so climbs (5.6 - 5.11d) on the face. Be sure to bring long slings (~25') to this rock, as the top edge is quite sharp, and you want to ensure that your top anchor sits all the way over the edge to reduce / eliminate rope drag.","Looking at it from the road, Pinnicle rock is the most massive boulder on the left side of the climbing.Since the park is so small, it would be pretty difficult to miss it.","Bucket Prow TR 
Left Overhang TR 
Offwidth Crack TR 
Pocket Problem, The TR 
Reachy Face Climb TR 
Remillard Traverse 
Right Overhang TR"
Remillard Park,Plaque Rock,,"Named for the historic plaque on the center its face, Plaque rock features 2 arete climbs and 2 face climbs crowded onto its narrow body. Climbing is overhung on the face routes, and vertical or near vertical on the aretes. 
 
The bolts on top provide opportunity to set up a top rope for the climbs beneath, but bring a 5' sling to ensure that your top anchor sits over the climbing, and isn't rubbing on the top of the rock. 
 
The fact that the boulder is so small allows for all 4 climbs on the rock to be top roped without too much swinging.",The small overhung rock facing the road. Impossible not to notice.,"Beneath the Plaque Traverse 
Plaque Arete Left TR 
Plaque Arete Right TR 
Plaque Route TR 
Plaque Traverse 
Right of the Plaque TR"
Remillard Park,West Boulder,,"Follow a trail around the main rock left and downhill you wiil find another rock that appears to be about 15 feet tall. Walking around its right side, the rock becomes quite taller, reaching roughly 25 feet. Old bolts and scars mark this bouldering only rock as once something more, but now many crashpads and a few good spotters are all that will protect you in the event of a highball fall. 
 
Like the rest of Remillard, this rock is an interesting concoction of various types of rock, and it's sharp slopers and pockets seem like the shouldn't be solid, but are. The left side of the face does have some loose rock, so beware. 
 
An excellent traverse heads right to left across this face with many variations. Another good highball route heads up the left side of the face. Most routes are in the 5.8 - V2 range. 
 
Being part of the Berkeley City Parks system, there are no access issues. 
 
You'll find this rock in partially blocked sun all afternoon. 
 
The only thing that really isn't fun about this boulder is the large forest of poison oak growing on top, especially on the middle to right side of the rock and on the uphill side downclimb. Bring technu, your own resistance, or don't climb. 
 
There are two descent routes, one going off the uphill side of the rock, and the other heading down the face of the short side of the rock. Due to the oak poison mentioned above, I'd recommend the second descent route.","Approach time: 1 minute 
 
Head left around the main rock past the descent route, where you will see the back side of the rock standing 15 feet high or so. Follow the rock downhill and you'll find the clearing and main face.",
Black Sand Beach,Bholláin Muire (Mary's Pass),,"These lil' boulders cracked off the cliff sometime in the last few months. A good number of routes are under the sand now, but it's opened up some new opportunities for projects. 
 
This set of three boulders appears to be one large boulder that cracked into three pieces when it hit the ground which provides some interesting combinations of easy chimneys, finger cracks, sharp chert problems, and some short, fun slab climbs. 
 
The boulders are about 20 feet from the water at a modest high-tide, and who knows how far at low tide. The leeward side is very protected from the wind but receives direct sunlight from noon until about 6:00 PM, bring yo' sunscreen. 
 
It's all boulders here, no ropes, no bolts. Just bring your shoes and chalk. 
 
It's a lot of sharp chert (or ""chert rich"" to quote our geophysicist friend...) flakes and wrinkles and it's a ton of fun to climb but it'll chew through your fingers pretty quickly 
 
There are no access fees to get here, but it's a LONG drive from San Francisco if you're heading there in the middle of the day on a Saturday (two hours from Berkeley) Just follow the directions to get to Hidden Cove and you'll get to these lovely ladies. 
 
Access issues here are the tide. If it's high, you're gonna be dealing with spray on the rocks, waves lapping at your feet, etc, etc... Closest places to buy a beer are probably in Sausalito, so bring it with you when you head out. You can't camp very close to the rocks (as far as I know) because it seems like the tide goes all the way to the cliff during high tide.",Follow the directions to Hidden Cove. It used to be part of the wall.,"Hugs from Thugs 
Inappropriate Footwear 
Kitten Kisser 
Lauren's Crack 
Mango's Walkabout"
Black Sand Beach,Last Cove,"37.8255, -122.5187",Solid rock with in a small cove on the last beach with problems ranging from V0 to V6. Some of these problems do not top out and require a drop off. Only accessible during low tide and low swell. Potential for 50 foot sport routes. Be careful where you place your gear and pads as the swell can come up unexpectedly and soak you and your gear.,"From the beach turn right and walk until you come up to the cliff and hike over the center gulley. On the second beach, you'll first come across Hidden Cove. To get to Last Cove, walk to the end of the second beach until the end. You'll notice an old Army lookout box or bunker positioned on the cliff. Scramble your way through the boulders on a mellow path heading left making your way over to the third beach. Don't go direct over the unstable looking cliff. Once on the third beach, you'll notice a chossy but promising looking cliff on the right and Last Cove is beyond that at the end.",
Castle Rock Area,Aquarian Valley,"37.2904, -122.1658",Shade until late afternoon. Often dry after a light rain. Often soaked for weeks after a heavy rain.,Google Aquarian Valley or Skyline Slabs,"Alligator Blood 
Aqua Velva 
Aquarius 
Crack 
Do not know S,TR 
Entrance Pillar/Creek 
Fire, The 
Graffiti Wall 
Hey Mami 
Ken Kesey and the Merry Pranksters 
Pearls before Swine S,TR 
Project 
Rasta 
Red Eye 
Red Tape 
Ronald Dregon 
Silicon Bond 
Stone On Bone 
Stoned 
Stoner Traverse 
Sunspots 
Swinger 
Tufa, The 
V2 Boulder"
Castle Rock Area,Klinghoffers,"37.22862, -122.10453","This area doesn't get as much traffic as the main castle rock area, but it is well worth the tiny bit more effort it takes to get there. All the holds had no chalk on them and the problems needed to be brushed off on top. Kind of adds to the mystique.",?,
Castle Rock Area,The Muffins,"37.2259, -122.1045","The Muffins are numerous large boulders approximately 35 feet in height, surrounded by smaller rocks with fun, powerful boulder problems on them. 

The Lower Muffins are a group of three similar-sized rocks, with chimneys separating them, and are host to three sport routes in the 5.10-5.11 range. 

The Sticky Green Traverse
Corn Muffin
Burnt Muffin
Jelly Roll

The Day Sleeper and Gym Rat boulders are between the Lower and Middle Muffins. 

The Middle Muffin is a smallish but somewhat intimidating blob, with several slightly overhanging routes. Three of these are topropes (5.13b to 5.11d), while ""Muff Diver"" (5.10b) on the right hand side makes for a zesty 2-bolt lead. 

Muffin Monster
Pocket Change
Muff Diver
Devil Baby Traverse

The Upper Muffin also has one sport climb (and unknown trad climbs?) on it, though I know nothing about the difficulty of this climb.","Estimated hike in: 15 minutes. Distance: 0.8 miles 

Starting from the main area parking lot, head into the main park using the Saratoga Gap trail. 

This will wind down a canyon crossing the creek for quite some time. 

At the second Fork in the road, travel across the bridge and continue down to the observation area. 

The path that leads to this and other climbing areas in the area (the Muffins and Shady Rock) is found by walking down the steep bank to the creek right to the left of a ""dangerous cliffs"" caution sign about 75 feet before the observation deck. 

Wind down this path about 50 feet and then head uphill to the left of the cliff band. 

After about 400 feet of moderately steep path, you will come to a wide rocky and leafy gully on the right side. 

The Muffins can be seen ahead on the trail at this point. 

Walk straight ahead and you're at the Lower Muffins. 

To access the Middle Muffin, go past the Lower Muffins and find a trail to the right heading up. 

The bolted route on the Upper Muffin can be seen easily from the base of Middle Muffin.",
Castle Rock Area,Sunnyvale Mountain,"37.217, -122.06957",This is re-re-discovered small bouldering area in Sanborn-Skyline park. It is definitely more secluded than Castle Rock/Indian Rock - you are likely to have whole area all to yourself. ,"Going south from Hwy 35/9 intersection, pass Castle Rock parking lot and continue for two more miles. Turn left (east) onto parking lot labeled ""Sunnyvale Mountain"". 

From parking lot hike north past fire road gate for 100 yards until first fork - keep left and keep walking until you see an obvious boulder (Tree-In-The-Wall) in about 100 yards. 

Total approach time is around 5 minutes.",
Castle Rock Loop,360 Degree Boulder,"37.22873, -122.09632","This 10' tall boulder holds a deceptively large variety of problems with a diverse range of options, from V0 to Chris Sharma's V8 traverse of the rock. 
 
Sandstone, in the shade of the trees and Castle Rock Proper. 
 
Jump off the top on the short side of the boulder, and a pad will help with the landing.","Approach time:From the Parking lot: 5 - 15 minutes, depending on your pace.From Castle Rock proper: 10 seconds. 
 
From the Castle Rock parking lot, head uphill on the leftmost walking path .3 miles to Castle Rock proper. The walk wanders a bit, but the path is signed the whole way, so it's hard to miss. Once at Castle Rock proper (the big one, you can't miss it), walk around the right side of the rock to the smaller boulders slightly downhill ad left of the trail. This is the first boulder the trail will take you to if you walk downhill to the lower side of the rocks. The front face of The Spoon is just left of the trail about 5 feet, and the 360 Degree boulder is just downhill from the other rocks of this area (spoon, bates arete and others.)","360 Degree Traverse 
Edge, The 
Mr. Clean"
Castle Rock Loop,Bates Arete Boulder,"37.22868, -122.09628","This long scrunchy boulder holds at least three problems: the Bates Arete problem (V4), a variant off the main problem, and a SDS problem on the adjacent boulder starting low down. 
 
Sandstone, in the shade of the trees and Castle Rock Proper. 
 
Walk off the top.","Approach time: From the Parking lot: 5 - 15 minutes, depending on your pace. From Castle Rock proper: 10 seconds. 
 
From the Castle Rock parking lot, head uphill on the leftmost walking path 0.3 miles to Castle Rock proper. The walk wanders a bit, but the path is signed the whole way, so it's hard to miss. Once at Castle Rock proper (the big one, you can't miss it), walk around the right side of the rock to the smaller boulders slightly downhill ad left of the trail. This is the first boulder the trail will take you to if you walk downhill to the lower side of the rocks. The front face of The Spoon is just left of the trail about 5 feet, and the Bates Arete Boulder is about 60 feet further than the spoon across the gradient.",Bates Arete
Castle Rock Loop,Broken Pyramid Boulder,"37.22853, -122.09678","A decent sized boulder just off the trail. Features a nice arete. There may be some mantle, eliminates, or VB problems on here as well.",Just downhill ~100ft of the 360 boulder.,Broken Pyramid Arete
Castle Rock Loop,Castle Rock Proper,"37.22862, -122.0962","Surrounding Castle Rock proper, there are a series of boulders with a multitude of problems. The boulders include the Beak Boulder, Spoon, the Bates Arete Boulder, Castle Rock (itself),and a few adjacent boulders.","A 10-15 min approach from the parking lot, just a 30 second approach from the Magoos.","Between a Stump and a Hard Place 
Cave Roof 
Duct Tape 
Project, The 
Red Rocket 
Unknown V0 
Waimea Arete 
Waimea Wall"
Castle Rock Loop,Cave Boulder,"37.23029, -122.09657",25 foot tall boulder/cliff with big hueco/cave formation and a few classic highball problems.,The Cave Boulder is just down the trail to the waterfall about 30 seconds from the main parking lot on the right.,"Blind Sided 
Duende 
Groundation"
Castle Rock Loop,Domino,,The boulder is in the shade of trees throughout the day.,"The easiest way to find this boulder, if unfamiliar with the area, is to leave the main parking lot on the Saratoga Gap trail and to take a left on to the Castle Rock Trail after approximately .3 miles. Domino boulder is found adjacent to the trail on the left side after approximately .4 miles of hiking. Alternatively, a shorter way to the boulder is to take the Castle Rock Trail from the parking lot up and over the hill passing Castle Rock proper. The bolder will be on your right side adjacent to the trail.",Domino
Castle Rock Loop,Eco Terrorist Boulder,"37.22812, -122.09662",Down the trail from Domino Boulder.,Down the trail from Domino Boulder.,"Eco Terrorist 
Freakal Terrorist"
Magoos,The Beak,"37.22844, -122.09592","This 12' - 18' boulder sits just south of Castle Rock proper, and holds bouldering problems suitable for warmups, and also for quite a challenge. Routes range from V0- to V6, on slabby to vertical faces. 
 
Many people sightseer types will probably be in this area, which makes this rock not nearly as popular as the nearby Magoos, which sit about 100' south of The Beak.","Estimated approach: 5 - 15 minutes. 
 
From the parking lot, follow the signs out of the left side of the parking lot to Castle Rock proper. As you wind uphill, you will come to a maintence road, where you should head right. You will come up to the large clearing just before Castle Rock Proper, and The Beak will be on your left, on the south end of the smooth rock clearing.","Beak Mantle 
Beak Traverse, The 
Garage Door"
Magoos,Dog Dish Boulders,"37.22823, -122.09564",The Dog Dish boulders at Castle Rock.,The Magoos.,"Compression Problem 
Dog Dish Traverse 
Highball 
Hueco Slap 
Hueco Wall 
Hueco Wall Traverse 
Slope, The 
Unknown V0 
V2 
Warm Up, The"
Magoos,Mr Magoo Boulder,"37.22838, -122.09569",The Mr Magoo boulder at Castle Rock.,The Magoos.,"Bates Eliminate 
Bates Eliminate Left 
Edge, The 
Gonzo 
Magoo Face 
Mr Magoo 
Northern Roof 
Overhanging Lieback 
Unnamed 
Up and Over 
Warm-Up 
Your'e Getting Warm"
Magoos,Mrs Magoo Boulder,"37.22827, -122.09556",Mrs Magoo Boulder at Castle Rock.,The Magoos.,"Kauk Roof 
Mrs. Magoo 
Mrs. Magoo Traverse 
Roof Traverse 
Swim, The"
Castle Rock Loop,Parking Lot Rock,"37.2296, -122.0952","This large 10 - 20' high pile of boulders is the closet climbing to the Castle Rock official parking area, hence the name. 
 
There are probably 20 established problems on the rock, ranging from V0 to really really hard V10, and more difficult projects to boot. Some are quite highball, others protect fairly well. 
 
Most of the problems on this rock are pretty sustained by Castle Rock standards, with many problems staying hard from the ground up to the sketchy mantle. 
 
All sandstone, and you can walk off the top with a little bit of exploring.","Approach time: From the Parking lot: 5 minutes, depending on your pace. From Castle Rock proper: 3 minutes. 
 
From the Castle Rock parking lot, head uphill on the 2nd to leftmost walking path about 150 yards uphill on a small climber's path. 
 
From Castle Rock proper, walk around the right side of the rock to the smaller boulders slightly downhill and left of the trail. Pickup the trail heading left just below the small boulders, and follow this trail downhill to the right for about 200 yards, where it will run directly into the Parking Lot Rock.","Collins problem 
Coz Daddy 
Coz Mama Roof 
Deforestation 
Flakes 
Let's Get Hurt 
Lieback 
Pockets 
Rug Head (AKA Rug Rat) 
Tree Problem 
Unnamed 
Yabo Roof 
Yabo Squeeze"
Castle Rock Loop,Pyramid Rock,"37.22773, -122.09596","This pyramid-shaped rock is quite tall and houses the classic Pyramid Crack highball. There is another highball on the exact opposite face of the crack. 
 
There are three old rusty bolts on the top of the formation. I would not trust them... 
 
To get off of the Pyramid after climbing Pyramid Crack or the other highball, climb down a slabby crack until you can reach a tree. Stem between the tree and the slab for the last few moves.",Pyramid Rock is near the Magoos and Castle Rock. Continue on the loop trail and you'll eventually go right to the base of Pyramid Rock. You'll know it when you see it.,"Pyramid Crack 
Unknown Highball"
Castle Rock Loop,The Spoon,"37.22876, -122.09615","This small bouldering rock sits just downhill behind Castle Rock Proper. The top of the rock is shaped like an upside down spoon, and the rock itself looking at it across the gradient looks like a spoon. Hmmm... Hence the name? 
 
The rock is sandstone, and the jugs and excellent edges of the classic highball mantle known as The Spoon (V1) are the order of the day. A couple of other problems sit on the same rock, a V4 edges on the right, and a V2 traverse that moves uphill on the left side of the rock. 
 
All routes easliy walk of the back, where the rock disappears into the hillside.","Approach time: Parking lot: 5 - 15 minutes, depending on your pace.Castle Rock proper: 10 seconds. From the Castle Rock parking lot, head uphill on the leftmost walking path 0.3 miles to Castle Rock proper. The walk wanders a bit, but the path is signed the whole way, so it's hard to miss. Once at Castle Rock proper (the big one, you can't miss it), walk around the right side of the rock to the smaller boulders slightly downhill ad left of the trail. This is the first boulder the trail will take you to if you walk downhill to the lower side of the rocks. The front face of The Spoon is just left of the trail about 5 feet.","Frog Traverse 
Micro Edges 
Spoon, The 
Unknown contrived dyno"
Castle Rock Loop,Yabo Zone,"37.22791, -122.09492",Small area with a handful of good problems.,"Step over the large fallen tree next to Mrs. Magoo and continue down the path for ~100ft. These boulders will be on your right. 
 
Alternatively you can go down to Heuco Wall and turn left.","Down Climb 
Highball 
Highball Sit 
Pitbull 
Sloper Arete Stand"
Castle Rock Area,Goat Rock,"37.2282, -122.1079","Goat Rock is tucked a fair way back from the main Castle Park area, but it's worth the beautiful hike in. 
 
It's a pretty sweet mix of slabs and overhung, cave-like climbs, with lots of pockets all around. 
 
The rock itself is 110 feet high, but the routes run no longer than 80 feet. 
 
From the top you get an even more breathtaking view of the valley. 
 
All the climbs have top-rope bolts except ""Left Side of Great Roof"" which has 3 bolts to a 2 bolt anchor. 
 
The climbs range from 5.4 to 5.12a, with something for everyone. 
 
This rock is great if you have people with varying skill levels in your group. 
 
The top rope bolts are easily accessed, but you should definitely bring long slings to set up your top rope if you want your rope to last on this sandstone. 
 
If you're planning on staying 'til sundown don't forget to bring a headlamp or flashlight... otherwise the hike out gets very tricky. 
 
Classics on Goat Rock include Great Roof (5.10b) and the Left Side (5.12a) for more advanced climbers, and Swiss Cheese (5.4-5.7) for less experienced climbers.","From the main Castle Rock parking lot, take the Saratoga Gap Trail west toward Castle Rock Falls. You will cross Kings Creek, then at the fork in the trail, turn right onto Ridge Trail. If you reach the observation platform for Castle Rock Falls you have gone past the fork. Passing by Last Temptation Cliff and Billy Goat rock on your right, you will come to Goat Rock on the left side. It's about a 1.3 to 1.5 mile hike in, with a decent amount of uphill walking, on a fairly small but well-traveled trail.","Center Route TR 
Corner Route T 
Goat Rock Traverse 
Great Roof, The TR 
Swiss Cheese T,TR 
Triple Overhang TR"
San Francisco,Cliff House Boulders,"37.77778, -122.51362","Located at the far north end of Ocean Beach, this wall contains a handful of somewhat high-ball boulder problems best described as ""okay"". Sometimes the tide is high enough to flood the landing, so check the water level in advance or be prepared to climb somewhere else instead. 
 
The approach is a public beach, but the wall itself rests in an alcove that's mostly out of everyone's way; not that many beachgoers will come over and bother you. 
 
Wear sandals unless you like broken glass, jellyfish, and hot, coarse sand.","Park near the north end of Ocean Beach (Great Highway @ Balboa Street) and access the beach just like all the other beachgoers do. Walk north through the sand until you find a wall that looks boulderable, just left of a large walk-in cave.",
Coyote Hills,Castle Rock Boulder,,"Very Noticeable, right above the parking lot","Walk directly towards it from the parking lot, you'll know where it is.",I asked the Internet
Coyote Hills,Red Hill,,"Rocky, red, and the highest point within the park",Follow the obvious trails. Everything is marked.,Fully Commited
San Francisco,Glen Canyon,"37.7408, -122.4398","This bouldering area is located inside the city of San Francisco in Glen Canyon park, this offers the best and most varied bouldering in the city. 
 
There are also several top rope possibilities, though for most options you should bring slings and trad gear. A few bolts do exist, but there are not enough to consider this a top-roping area. 
 
Climbing is on very sharp, juggy rock that presents itself as large flakes, mostly pointing up. This rock is known as Radiolaria. 
 
Climbing off is simple, walk off to the hillside above, and walk back down the other side.","To get to Glen Canyon, go into San Francisco and find your wayonto the 280.Exit on the Monterey Blvd exit, and take a sharp right ontoMonterey Blvd.Take a quick left on Diamond Street, and 1/3 of a mile later goleft on Bosworth. 
 
Go a block, and head right on Elk street, which up the hill willrun into Berkeley Way. You should go left on Berkeley way, andthen another left on Crags Court. At the end of Crags Court, youwill find a turn around, where you can park. You will find thepark itself by taking the trail that leads from the end of thecul de sac and heads downhill into the open Glen Canyon Park.","Thistle Arete 
Thistle boulder eliminate"
Indian Joe Caves,Cleavage Rock,"37.52496, -121.8179",Cleavage Rock.,At Indian Joe Caves.,"Bat Crack T 
Cleavage, The TR 
Highstep Face Traverse TR 
Left Side of the North Face on the North Rock TR 
Middle Right Side of the North Face on the North Ro, The T,TR 
Right Side Arete on the North Face of the North Roc, The TR 
Shoelace Joe TR 
West face of Northwest Rock Face TR 
West face of Northwest Rock Roof Problem TR"
Indian Joe Caves,Indian Joe Caves bouldering,"37.52484, -121.81869",the boulders of indian joe caves only. please contribute.,see directions to indian joe caves,Bushwacker Direct Low
Mickey's Beach,Center Bouldering Rock (or the Beach Boulder),"37.88939, -122.63301","This shorter bouldering rock contains some exellent, but shortjug hauls and traverse routes. The left (east) face alsocontains excellent warmup terrain, a great spot for warming upfor climbing or bouldering at Mickey's Beach. Routes range fromV0 to approximately V4, depending on the current sand height. 
 
Climbing on this rock is tide and sand dependant, at high tideyou'll find the starts in the surf, which make for hurried, dirtystarts. At low sand you will still find excellent warmups,though 1-2 move routes instead of 4-5 moves. 
 
Decending from the top of this rock is no problem regardless ofthe sand height, though your jump down onto the sand will be alittle more interesting!","Approach time: 6 - 16 minutes. 
 
From the main rock, head down to the beach headed for the largestbouldering rock. From the viewpoint of the main rock, this rockis just to the left of the highest bouldering rock. Many climbsare located on the north side, which is on the nudist side of therock.","Nudist Side Jug Haul 
Yuji's Dyno"
