location,route_name,difficulty_rating,Description,Directions,Protection
Indian Rock,Indian Rock Traverse,V5,"Start as low as you can on the main rock, pretty close to where the path forks and goes out of the park, or around the rock. Go uphill, into the pit, and exit to the left of the roof problem. 
 
There are several cruxes, and probably about 1,000 different variations to this route. The toughest section is probably bridging the gap near the cave, and the next 2 or 3 moves. 
 
Height is misleading on this route: Yes, you're only 5 feet off the ground, but the route itself is some 75 or so feet long! Go and go and go. Topping out in the end should neither be scary nor require a crashpad. If you've survived the rest of this route, you should be able to climb the final top out with one hand. Breaks are plentiful on this traverse, there a definitely a few sections where you wish there were a few more. 
 
You can also reverse this route (starting at the bottom of the roof problem, instead of the top) and working downhill. This way's a little tougher, and goes at about V7.",,"None, you never get more than about 4 feet off the ground, except at the finish, and that part's easy."
Indian Rock,Overhung Roof,V0,"Ascending the simplest way up the roof on the right side of the main climbing area to a mantle finish, or a simple traverse to the left once the large holds above the roof are grabbed. There are many popular variations with increasing difficulty, many of which I hope will be added to the site. 
 
Going over the roof is a little scary the first time, especially for a beginner outdoor boulderer. The holds are there, but you must feel around on the many chalked surfaces of this section to find them. 
 
To find this climb go to the main chimney and head right around the corner. Located in front of the large wooden log benches, you will usually find someone or someones working on some variation in this section. Another good landmark is a large diagonal flake located 6 to 9 feet above the ground (and the traverse that goes at V4) which is just to the right of this route.",,A crashpad or some buddies. Often times you'll find people with a crashpad already there.
Indian Rock,No Hands Route,V2,"Start right of the watercourse area, just right of the crackthat starts vertically up the rock. Climb alongTransportation crack the whole way, using it as a left footas necessary abouthalfway up the rock.Don't put your hands OR arms on the rock AT ALL; you can useyour hips and chest against the rock to steady yourself.Tough about 3 ft off the ground, and then once more near thetop (where it gets kinda scary). A great way to wakeyourself up, and get your balance together.",,crash pad is pretty useful.
Indian Rock,Overhung Wall - Right Exit,V0,"This climbs the right side of the overhung wall, starting upthe large outcropping. From the block, use the large flaketo help you up, using decent but not great feet.",,"Crashpad, I guess. Won't help much unless youreally jump out of the crux."
Indian Rock,Six Hold Traverse,V2,"If you can overcome a blanket prejudice against ""manufactured routes"" or if you've ever climbed in a gym, you may find this silly exursion challenging and entertaining. The ""manufactured"" tag comes from the fact that problem involves the stacked stone wall along the pathway just down from the Pit on the north side of Indian Rock. This is clearly an artifically constructed structure, but don't let that stop you. If it's any consolation, I didn't build the wall, nor was I the first climber to play on it. It's been a few years since I last did this problem, so it's quite possible that the whole wall has been overgrown with ivy once again. If so, it may be necessary to do some pruning to rediscover the holds. 
 
The object is to traverse the wall from one end to the other. With the many gaps and fissures between stones, this is a trivial exercise. So we'll add some rules: everything on the wall is on-route for the feet, but you're only allowed to use six (6) handholds. Furthermore, each handhold can only be used by one hand (three for the left, three for the right, no matching allowed). The top of the wall and both ends are off-route for the hands. The start and finish involve stable stances with a leg wrapped around the end of the wall. 
 
When I was introduced to the problem, it was the Eight Hold Traverse. Over time, it became the Six Hold Traverse. Further hold elimination seems unlikely, but consider it a challenge. Beta hints: I faced out at least twice in my sequence, and it may be necessary to release one hold before you can grasp the next. Like all good traverses, once you've mastered it in one direction, reverse it and run laps.",,Pruning shears
Indian Rock,Transportation Crack,,"Climb the WIDE very featured crack just to the right of thewatercourse area. This is also an excellent downclimb forother routes in the overhang area, and the right side of thewatercourse area. 
 
climbing this route with no hands is called the No HandsRoute (v2),",,You can set up a top rope using some really longslings up above. But - why? It's 5.0!
Indian Rock,Watercourse,V1,"Tons of eliminates in the section, this is only the easiest one. To find this climb, go into the main bouldering section on the rock. Wander over to the most set-in section of the rock by the chimney. This climb works the Watercourse area, which is the vertical wall directly right of the chimney. A prominent oval can be seen about 10 feet off the ground on the left section of this rock. 
 
For the simple route, start on the crack system to the right about 10 feet of the chimney. Work your way up a flake - like section to the oval. 
 
Crux is all hands. 
 
To get off the route, you can work your way around to the left, you can continue up to the top of the rock via some simple (5.3 or so) climbing, or you can just jump off.",,A crashpad would be nice.
Indian Rock,White Men Can't Jump,,"A one move dyno deal on the staircase side of the rock in front of the fallen log. Basically, you dyno up the entire overhang area from the large flake located at sit start level.",,Pad a good idea.
Mortar Rock,Bench Wall,V2,Climb the route by the bench on the right side of the main rock. There are probably 50 eliminates on this wall.,,A crashpad would be useful.
Mortar Rock,"Don't Worry, Be Snappy",V12,"Located right of the ramp and new wave, this is an independent line starting at THE obvious jug, to a crimp, to an upside down sloper undercling gnarliness, and on up and over.",,pads
Mortar Rock,Jungle fever,V8,"this is the straight up problem that starts below the finish of nats traverse. but the holds on nats (the good holds) are off, therefore you move through small bad ""peanut"" holds up and right.",,
Mortar Rock,Nat's Traverse,V8,The best problem in the Bay Area hands down! I can't believe it wasn't listed yet. The obvious line starting from the corner as you come up the stairs...pulling the corner is the first crux...(the top rail is off)...then the bulge right after the tree is the next crux...it ends on the ramp and is about 30 feet long..,,Pad isn't really necessary...maybe for the ramp. You are no more than 3 feet off until the end.
Mortar Rock,New Wave,V9,"Right of the ramp, start on a high left undercling and either a sloper or a pocket and go up right into the chalky sloper V-corner then straight up. Sit start called the Kraken makes it V11, iirc.",,pads
Mortar Rock,Over the Bulge,V3,"Climb up the bulge 10 feet to the left of the Ramp. Climbing is straightforward, with the crux topping out. 
 
This is really overhung, but so is just about everything else on mortar rock! Moves are reachy, but all the hand holds are excellent. 
 
Serious rating is because of the landing being in the base of a large tree (that's really slippery when wet) and a not so nice rock just beneath it.",,"A crash pad, a few spotters, and awarness that there's a tree and a big rock where you're going to need to bailout."
Mortar Rock,The Ramp,V4,"Climb the finish of Nat's Traverse, which is an overhangingsection of rock with near vertical feet just to the right ofthe low tree, and just to the left of the sparsly grippedoverhung section of Mortar Rock. This also has tons ofchalk on it. 
 
This route has about five different ways to be done, butbasically you climb up the overhang using pockeys, slopersand crimps to a shitty grip about 9 feet off the ground, andthen reach up and left to a cheesegrater for a hold, andfinish by grabbing onto a large jug over the roof. 
 
This climb has been my nemesis since I've moved here, so Iguess it's time for me to find something harder to work on!",,"A crashpad is nice, but not necessary."
Mortar Rock,Red's Revenge,V2+,"Twentyfive years ago there were two challenging problems up the bulge to the left of the finishing scoop of ""Nat's Traverse"" - ""Pinky Paralysis"" and ""Pinky Direct"". They were named for the effects created by vigorously pinching a fist size chunk of stone pasted under the upper bulge. After a year or two of effort during my undergraduate daze in Berkeley, I mastered these problems, then proceeded to run laps and sandbag my colleagues with them. During one such session, I demonstrated ""Pinky Direct"" for the crew, then stood back and admired the struggle. Taking sympathy on their plight, I then proceeded to demonstrate the easier ""Pinky Paralysis"". With body torqued horizontal, feet level with shoulders, reaching over the top, the famous pinky hold snapped and I rocketed off backwards. With lightning fast, cat-like reflexes I did a quick half spin and landed on hands and knees. Unfortunately, I caught the heel of my hand just long enough to shatter the ends of both bones in my forearm. So much for climbing El Cap over spring break. 
 
Someone collected the chalk-caked hold for a souvenir, for that was all that remained of the ""Pinky"" problems. Many tried the line in the following months, but absent the hold it defeated all comers. Many months later, after recovery and rehab, I received a letter with a mysterious substance from one of my oldest climbing partners. Whatever it was, it made me feel strong and full of confidence. I ran up the hill, and after a brief warmup on Bench Wall I jumped on the bulge. The problem went down with a new sequence like rain falling from the sky. I tried to repeat it and failed. I failed for seven more months before finally recapturing the magic. The resurrected problem was christend ""Red's Revenge"". 
 
Beta: Start under the bulge left of the finishing scoop to ""Nat's Traverse"". Left hand to a sidepull over the bulge. Left foot to a divot on the lip. Gaston the right hand above the left and rock onto the left toe. Left hand to a horizontal edge on the upper bulge. Right hand way up and right to a patch of cheese grater. Match and mantle over the top. 
 
Since this was done before the V-scale, consider the rating a humongous sandbag.",,A fat pad and a better spotter than I had.
Pinnacle Rock,Reachy Face Climb,V3,"Located just to the right of the Offwidth Crack, this challenging face climb requires balance and either a long reach or some burly slapping. The crux is about 10 feet off the ground on the slightly overhanging section. Once the face gets less steep the climbing gets really easy.",,Set up a tope rope from the pole atop Pinnicle Rock. About a 30 foot sling will do the trick.
Pinnacle Rock,Remillard Traverse,V1,"Start where Pinnacle Rock meets Plaque rock and traverse around the arete and all the way to the Off-Width Crack. Mainly balancy moves, but the primary challenge is just the length of the traverse (~45').You can just as easily go left to right as well.",,Soft landings beneath a traverse where you don't get very high. A spotter is merely a luxury.
Aquarian Valley,Alligator Blood,V6-7,Start on left facing flake down and left of the 'Stoner Traverse' start. Head left and follow the sloper lip to the finish jug of 'Aquarius.' Drop or top-out if the moss has dried (which is rare.),,Pad
Aquarian Valley,Aqua Velva,V4,"Sit start on a good left hand two finger pocket and poor right hand pocket near the mouth of the cave and head up left on jugs to ""The Tufa""",,Pads
Aquarian Valley,Aquarius,V5+,Same start as AquaVelva but head out of the cave on crimps. End on head high jug just outside of cave.,,Pad
Aquarian Valley,Crack,V0+,Sit start at the base of the cave. Climb up the leaning block and top-out on the graffiti wall.,,Pad
Aquarian Valley,Entrance Pillar/Creek,V0+,Various problems on the pillar to your right as you enter the cave and in the creek just outside of the cave. There are a couple of V3 traverses on this pillar that some folks enjoy and a neat campus problem just up the creek. A few more meters up the creek is a large boulder covered in moss. There are a number of slab practices on this boulder when the moss is dried out.,,Pad
Aquarian Valley,The Fire,V9,Sit start back underneath the start of 'Aqua Velva' and 'Aquarius'. Start on 3 foot long jug with a good right foot. Head up on slopers and finish on 'The Tufa.' Very difficult compression moves lead to a jug haul.,,Pad
Aquarian Valley,Graffiti Wall,V0-,Various problems from V0- to V2 along the short painted wall in the cave. The best use of this wall is as a foot hold for 'The Tufa.' Graffiti and cover paint has pretty much ruined what was once a neat little warm up wall with some unusual (for the area) crimps.,,None.
Aquarian Valley,Hey Mami,V6+,"Kind of an eliminate but still cool. Start on large undercling underneath 'Stoner Traverse' start. Throw out right to the large foothold on 'Stoner Traverse' and finish on stoner traverse. 
 
Variations include: 
 
Same start but finish on mono eliminate finish. Hard. V9+! 
 
Dyno (for most folks) into 'Stoner Traverse' start. V7.",,Pad
Aquarian Valley,Ken Kesey and the Merry Pranksters,V9,Start as for 'Aqua Velva' and make a big move to gain flat hold and right hand arete. Work the arete until you can throw to a flat hold up and left. Drop off.,,Pads
Aquarian Valley,Project,V10+,Head up the highball bulge between the cave and the 'Stoner Traverse.' Start on 1/2 pad edge and head up on a few edges to huge slot. Topout? Drop? Who knows. Very difficult.,,Pad
Aquarian Valley,Rasta,V7,Start on 'Swinger' and finish up 'Aquarius',,Pad
Aquarian Valley,Red Eye,V7,Sit start right of 'Red Tape' and head up on crimps to slopers. Finish on jug. Probably the worst rock quality in the area.,,Pad
Aquarian Valley,Red Tape,V4,Sit start the arete outside of the cave. Drop off of jug or have a bushwhacking adventure on the top-out.,,Pad
Aquarian Valley,Ronald Dregon,V11,"Formerly the 'mega project.' Sit start at the back of the cave. head up and right towards the start of 'Swinger.' Starts on one of the most giant jugs you have ever seen. Head right into left facing jug feature and reach around. This is the start of the crux. Make three (or four) VERY hard moves to gain the start of 'Swinger.' Top-out. FA early '12 
 
There is a large amount of advanced trickery involved with this problem due to the lack of feet. Very cool and different for the area.",,Pads.
Aquarian Valley,Silicon Bond,V6+,Not in cave. Across the hill to the south. Climb the overhanging crimps via difficult lockoffs and deadpoints...located on a boulder a few hundred yards behind the motherlode. There may or may not be bolts on top. The face is quite obvious and may have been a vintage toprope but there have been some obvious major breakages making this much harder.,,Pad(s!)
Aquarian Valley,Stoner Traverse,V6,"Good L-R traverse on pockets and jugs. There are multiple eliminates and variations on the line but the easiest way clocks in somewhere around V5/6...on the harder side if you are short. 
 
One particularly cool eliminate uses only the mono pockets after the initial move to the matching pocket. Quite hard and decent finger training. 
 
Outside of the cave to the right. Start on head-high holds-Left hand pocket/right hand crimp. Traverse right on pockets and end somewhere around the jugs on the right side of the wall. You'll know when it's over.",,Pad or two.
Aquarian Valley,Swinger,V5,"Stand start on sloper feature in the middle of cave. Make one big move right to a giant jug and topout on ""The Tufa""",,Pad
Aquarian Valley,The Tufa,V2,"Stand start on obvious overhead jugs, pull to pocket and topout through cave opening to your left. One move and the only route out of the cave.",,Pad
Aquarian Valley,V2 Boulder,V2,This is the small boulder across the creek/waterfall that looks nice from afar-but is really not that great up close. It has a couple V2's on it. Very low quality.,,Pads.
Goat Rock,Goat Rock Traverse,V4,"Traverse along the bottom of Goat Rock, either left or right. Traversing from the right is harder, but neither direction is very tough for a V4. 
 
The V4 move is moving accross the bulge on the extreme left side of the rock. Otherwise, this 60 foot traverse has maybe one other move harder than V0.",,"None needed, but a spotter through the crux would be nice to keep your ankle out of the roots below."
Glen Canyon,Thistle Arete,V3-,"Obvious arete on the cube-shaped, freestanding boulder in front of the main rock face - sit start and make some fun slaps to the top.",,Pad
Cleavage Rock,Shoelace Joe,V4,"Facing south east on the west-most rock with climbing at Indian Joe Caves, Shoelace Joe ascends the overhanging slight dihedral right of the start of the 5.11b roof climb (and well left of Bat Crack). Originally, we attempted it as a more exciting start to the 11b, but soon realized that it had its own personality as a quality bouldering problem. Stay right of the simpler vertical face just right of the arete.",,"Underneath this problem is nothing but scree, so a crash pad is essential (2 would be good). If you chose to top rope it, there's bolts atop the rock some 35 feet up, you'll want to bring long slings though, because the bolts were not set for this side of the rock."
Center Bouldering Rock (or the Beach Boulder),Nudist Side Jug Haul,V1,"Haul up the jugs just to the right of the arete and on thearete. Climbing is slightly overhung, but the hands andfeet are solid.",,"none needed, a crashpad is nice."
Center Bouldering Rock (or the Beach Boulder),Yuji's Dyno,V6,Start on left hand ear-hold and right hand jug. High foot to a huck at the lip.,,pads
Danger Rock (or Orange Buddha Rock),Crimpy V4,V4,"Located just right of the diagnol crack, this problem pretty much just doesn't use the big holds that the V1 uses. Its pretty crimpy, but fun none-the-less.",,Nothing but soft sand underneath. I suggest beer.
Danger Rock (or Orange Buddha Rock),Diagnol Ramp,V1,The very obvious dignal crack system on the right side of the boulder. Big holds take up a little ways then lunge up top (or use the crimpy intermediate).,,A pad isn't even necessary. There's soft sand underneath.
Danger Rock (or Orange Buddha Rock),Don't Worry be Slappy,V6,"Start on good, low rail and power out to jug half way up.",,pad
Danger Rock (or Orange Buddha Rock),Grace Face,V5,"Start on big diagonal rail and ascend using sloppers, crimps and pinches",,Pads. Careful of the rock behind the climb
Danger Rock (or Orange Buddha Rock),Kiki's Big Adventure,V6,"Start low on Diagonal Ramp, traverse left into Grace Face and finish it out.",,Pads.
Danger Rock (or Orange Buddha Rock),Lowest Start V4,V4,"Starting about 4 feet left of the diagnol crack on a very low flat hold, pull up and up until you top out. 
 
That's me putting my shoe on in the beta photo, the climb starts up and left of my left shoulder.",,You will certainly want a crash pad or two (if the sand is low) to soften the landing. There's a flat rock lying beneath the problem.
Danger Rock (or Orange Buddha Rock),Orange Buddha Arete (Low),V8-9,Start seated with right hand on big undercling and left hand on face crimp. Climb into sit start for the regular Orange Buddha Arete problem.,,Pads
Danger Rock (or Orange Buddha Rock),Orange Pleasure (right finish),V5,Start on lowest holds of overhange and make your way out to the lip. Traverse right to jug at the far end.,,pads.
Are You Experienced Boulder,Arete,V5,"The line that ascends the left arete feature of the ""Are You Experienced?"" boulder. Start as low as sand levels permit and climb powerful moves up the arete to a tricky topout encounter. Definitely not a give me for the grade.",,pads & pose
Are You Experienced Boulder,Central Scrutinizer,V5,"Start on low jugs in middle of Are You experienced Boulder. Go up, trending left.",,whatever.
The Green Monster,South Face Highest Bouldering Rock - straight up,V4,"This is the center bouldering route on the south face of thehighest bouldering rock at Mickey's Beach. 
 
Using solid handholds and worthless feet, get yourself offthe ground to a small pocket. Climb up to the sidepull,where a balancy crux sends you up to a reachy finger pocketfor the crux. Top out and jump off the left side of theboulder for a decent.",,"A crashpad is nice, but landing on the sand isn'ttoo painful!"
ATF Boulder,ATF traverse,V6,One of the best traverses in the Bay Area.,,none
Bootjack Boulder,Intuition,V3-4,"Starting on the two high side pulls, the stand, and going up the center of the boulder is Intuition, V4. And starting on the ledge down left, Instinct, and crossing into Intuition an topping out the center is V5. And I definitely think the Bootjack Arête is V3; otherwise it's a very sandbagged V2. The Bay Area Rock describes these problems very poorly, and it calls starting on the ledge and traversing into the arête Instinct and V4, which it's not. Feels more like a hard V5 or maybe V6 doing the traverse.",,
Mount Tam - Other Problems,Project,V9-10,"Project, no one has sent to date. A friend who climbs in the V9/10 range was unable to send. So therefore my suggested grade is extremely speculative. I climb in the 7/8 and the first moves feel very hard to me. Regardless very classic route on quality rock. Would like to see a FA.",,None
TW Wall,XOXO,V2,"Found on the right side of the TW wall. 
 
Start with your hands matched on the left facing sloper and your feet on the solid knee high ledge. Reach high for two crimp bars and mantle to finish. 
 
There is one big chunk on the top which you can use to top out.",,Crash pad
Turtle Rock,Harmony,V2,"Begin at the South Eastern extreme of Turtle. There is a flake that juts out and points towards Angel Island at the base. There are two small moons right next to each other right above this flake. Use these moons as the starting hand holds, and use the flake as the starting foot hold. Start traversing counterclockwise (the next move should be to a downwards horn underneath an outcropping out the rock. Traverse until you come to a cavity in the rock. This should be at the other side of the outcropping of the rock. Begin ascending. Go above the out cropping where there should be an abundance of nice holds. Harmony bears slightly left here, you're on the route if on your left there is a pretty nice horn and you have to come close to a hand-foot match to get to a pseudo-rail for a foot hold. finally on your right is a really nice bucket at the top of the rock. You'll have to search for this bucket with your hand for a little bit, but once you find it you'll fall in love with it. Mantle and top out. You should be at the highest part of Turtle Rock. Why did I name this Harmony? As soon as you go over the outcropping, there is an intense moment of pure bliss and peace. When I first sent this problem, at this moment, it seemed as though I was no longer a separate entity from the rock, but rather a new part of it. I rarely find this kind of genuine and infinite focus and oneness with anything other than on Harmony. It is certainly not the most difficult or technical of bouldering problems I have ever done, but it is by far and away the most spiritually inspiring problem I have ever done (hence my obsession with Turtle Rock).",,"A crash pad is all you need, it is a little high, but the higher parts are the easier parts of the problem"
Turtle Rock,Turtle Rock Traverse,V4,Turtle Rock Traverse is an eighty foot traverse starting at the northwest corner of the rock on an obvious head high flake. Two cruxes and a twenty foot section of slopers to finish. The landings are great with a couple of pads. The top of the rock is off for the basic traverse and a harder low variation also exists. Beautiful location - especially at sunset.,,Crash pads only
Main Boulder,Fort Rosstafarian,V6,stand start in the center of overhanging highball face or sit start (V6),,pads
Main Boulder,Grand Finale,V9,the lowest possible sit start down and left of the start for living la vida loca - one of the most bad ass lines on the coast!,,pads
Main Boulder,Left Arete,V5,overhanging left arete over slab rock landing,,Pads
Main Boulder,Living a Dream,V6,"Stand start on overhanging side of the right arete as high up as you can reach on several pads. Lower starts are different problems, but the ""normal"" stand start at high sand goes at about V7.",,pads (to keep the sand out of your shoes)
Main Boulder,Living a Nightmare,V7,"the bomb dizzle fo shizzle my nizzle . . sit start ""fort rossta"" then traverse right into ""living a dream""!",,pads or not - sandy landing all year except winter.
Main Boulder,Living La Vida Loca,V8,the original low arete sit start to living a dream.,,seasonal sandy landing otherwise - pads
Traverse Cliff,The Fort Ross Traverse,V1,traverse along the base of the vertical swiss cheese rock at the base of the trail (#1 in pic.),,pads or not
The Boxcar Woody,Boxcar Traverse,V5+,"Traverse the Boxcar Woody Boulder in a Clockwise direction starting on it's Left (south) side beginning on a perfect, flat two hand rail start. 
 
Warm up on the easy V0 wall and turn the corner to a short slabby wall to warm up the feet. Next, drop down around the corner (watch out for the barbed wire fence) and continue traversing the wall. Staying low for a pumpy sustained V2+ on big loaf pinches and crimps or head up high for a more relaxed and less steep variation. Get a good rest on some nice jugs before turning the corner and fighting your way through the last 12 ft of pumpy, sequential crimps and edges (stay low for the V5 or go high to the rim for a V1 finish) before finally pulling around the last corner and back to the start. 
 
You can customize the traverse to make it as hard or easy as you like but staying low the whole way is the original traverse. 
 
When you get it wired, give yourself a challenge and see how many times you can make it around without falling off.",,Pads
Spotlight Boulder,Sun Spot Traverse,V6+,"Traverse the South wall of the Spotlight boulder from Left to Right ending when rounding the corner. 
 
Begin on a two hand rail at a near sit start and start traversing to the right on slopers and pinches. Make sure to stay below the big rails and jugs for the V6 version pulling through on sequential pinches, slopers, and a few razor edges to a pumpy finish rounding the corner on jugs.",,A couple light pads to keep the grass down.
Spotlight Boulder,Swing of Things,V1,Traverse the South facing long wall of the Spotlight Boulder in either direction using the long rails and jugs but staying below the top edge of the boulder.,,Thin pads if desired in a few spots.
Hidden Boulder,The 40 oz Traverse,V6,"Start just right and around the corner of ""gimme my forty sucka"" and traverse left around the arete and uphill in the middle of the boulder using all holds and ending by topping out on the last possible route. - Classic!",,Pads
Hidden Boulder,Brass Monkey,V2,"Climb the obvious highball arete left of Give Me my Forty Sucka. There is a sit start that adds a few moves but most people start on the obvious jugs. 
Slap your way up the arete to the unnerving topout. Hidden crimps and a bit of moss at the top deteriorate the psyche when scratching your way over the lip of this one. A stack of pads is rarely wavered on this classic highball.",,Pads!!!
Hidden Boulder,Gimme My Forty Sucka,V0,Gimme My Forty Sucka is the obvious crack that ascends the East face of the Hidden Boulder. It follows a slightly diagonal seam that starts about 6 feet off the ground and climbs through good lockers and edges with good feet if you spend the time to look for them. The rock is some of the most solid around so not much to worry about there but it's still a good way to scare yourself.,,"A couple stacked pads and a spotter would be wise... Fortunately the landing is nice and flat, but it can look a long way off from up top. 
 
There's an easy wallk off the back once you're up top."
Hidden Boulder,Natural Disaster,V3,"Starts about 8 feet left of the arete on the Hidden boulder. Natural Disaster used to be a potential natural disaster in the making... the problem is pretty highball, and the crux is mostly figuring out the beta on the upper portion of the climb. However, the topout also used to be quite hollow and loose making for an uncontrollable potential disaster for an unsuspecting patron who just pulled down a little too hard. 
That threat is gone now as the topout has purged itself leaving a large scar in it's wake. Natural Disaster now climbs pretty much strait up and tops out on the very left of this scar. A low start and some decent crimps set you up with questionable feet as you search for the last inconspicuous hold to get you over the top. The crux is definitely at the top still giving homage to the name ""Natural Disaster"".",,A pad or two and a couple of spotters are a good idea for this one... the landing isn't so great and its pretty highball
Mad Cow Boulder,Bovine Face,V0,Bovine Face Starts on the biggest hold near the left arete on the main (north) face of cow rock and goes straight up. The crux is simply moving off the first hold.,,"A pad would be nice, though not really vital. You get about 10 feet off the ground, but the crux is LOW!"
Mad Cow Boulder,Howling Mad,V1,"Sit-start on the right side arete of the main (north) face of the Mad Cow Boulder. Side-pulls get you to jugs, then up and over the top. Would be rated much higher if it were longer.",,A spotter or a pad to protect you from the pile of rocks behind your landing.
Mad Cow Boulder,Mad Cow Traverse,V2,This route traverses across both the entire North and West faces of the Mad Cow Boulder. Its about 30 feet long and gets pretty pumpy near the arete and rounding the corner. Try and traverse back and forth as many times as possible for a good pump.,,Doesn't get very high off the ground. A spotter or pad would be nice though.
Mad Cow Boulder,Naked Lunch,V3,Sit start slightly right of the middle of Cow rock on a decent rail. Thin edges and slopers bring you up to a big move over the top. This route has a few possible variations depending on how you start it ranging from V3 to V4/5.,,a pad if you like soft landings
Mad Cow Boulder,Naked Lunge,V4,"This route is nearly the same as Naked Lunch but instead of using all holds available, you dyno for the top from a good rail. 
Sit start just right of center on the Mad Cow Boulder where Naked Lunch starts. Pull up to a good rail, get your feet up and lunge for a sharp hold at the top.",,Pad
